,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
245,0,1,18,25.505,34,11.28,700.0,0,1,0,0,0,0,552.1505804870343,-147.8494195129657
246,0,1,18,25.505,34,11.28,632.0,0,1,0,0,0,0,552.1505804870343,-79.84941951296571
247,0,1,60,98.345,90,5.73,1334.0,1,0,0,0,0,1,1003.8251259613265,-330.17487403867347
248,0,1,60,98.345,90,5.73,538.97,1,0,0,0,0,1,1003.8251259613265,464.8551259613265
249,0,1,60,98.345,90,5.73,678.5,1,0,0,0,0,1,1003.8251259613265,325.32512596132653
250,0,1,60,98.345,90,5.73,890.0,1,0,0,0,0,1,1003.8251259613265,113.82512596132653
251,0,1,16,25.771,29,9.48,747.5,0,1,0,0,0,0,463.6798282075273,-283.8201717924727
252,0,1,16,25.771,29,9.48,390.0,0,1,0,0,0,0,463.6798282075273,73.6798282075273
253,0,1,70,68.862,54,8.7,1752.0,0,1,0,0,0,1,1390.4636514950494,-361.53634850495064
254,0,0,60,115.553,90,1.5,1002.8,1,0,0,0,0,1,1448.669763881206,445.86976388120615
255,0,0,60,115.553,90,1.5,1236.77,1,0,0,0,0,1,1448.669763881206,211.89976388120613
256,0,0,60,115.553,90,1.5,1990.0,1,0,0,0,0,1,1448.669763881206,-541.3302361187939
257,0,0,60,115.553,90,1.5,2110.0,1,0,0,0,0,1,1448.669763881206,-661.3302361187939
258,1,1,14,25.771,29,9.73,747.5,0,1,0,0,0,0,1442.027537728131,694.5275377281309
259,1,1,20,357.596,277,58.32,1325.09,0,1,0,0,0,0,1381.4037175502694,56.31371755026953
260,1,1,50,93.632,77,10.38,1325.0,0,0,0,0,0,1,1203.4193102696977,-121.58068973030231
261,0,0,25,13.869000000000002,11,0.18,281.75,0,0,1,0,0,0,299.45689921740325,17.706899217403247
262,0,0,100,11.778,20,0.33,1458.2,0,0,0,0,1,1,1452.7997782866119,-5.400221713388191
263,0,1,50,78.737,79,10.15,670.0,0,0,0,0,0,1,899.5620769481706,229.56207694817056
264,1,1,14,60.605,52,6.17,450.0,0,1,0,0,0,0,678.9715259894678,228.97152598946775
265,0,1,9,89.694,70,10.58,650.0,1,0,0,0,0,0,430.6846175728664,-219.3153824271336
266,0,1,30,165.405,139,23.13,1385.75,0,0,1,0,0,0,1145.083746963001,-240.66625303699902
267,0,0,50,66.429,69,5.58,736.0,0,0,0,0,0,1,815.7625078222721,79.76250782227214
268,0,0,50,66.429,69,5.58,895.0,0,0,0,0,0,1,815.7625078222721,-79.23749217772786
269,0,1,50,88.55,70,10.83,1050.0,0,0,0,0,0,1,1044.4981480365918,-5.501851963408171
270,0,0,23,37.846,35,0.58,356.5,0,1,0,0,0,0,506.33381836598016,149.83381836598016
271,0,0,23,37.846,35,0.58,405.0,0,1,0,0,0,0,506.33381836598016,101.33381836598016
272,0,1,35,165.183,151,76.73,1276.5,0,0,1,0,0,0,1544.4819690574027,267.9819690574027
273,0,1,35,165.183,151,76.73,1521.55,0,0,1,0,0,0,1544.4819690574027,22.93196905740274
274,0,1,35,165.183,151,76.73,1145.0,0,0,1,0,0,0,1544.4819690574027,399.4819690574027
275,0,1,46,407.376,331,11.82,1842.19,0,0,0,0,1,0,1807.6220560097668,-34.56794399023329
276,0,1,22,136.925,121,9.5,1228.58,0,1,0,0,0,0,829.1249310923107,-399.4550689076892
277,0,0,45,10.989,9,0.15,250.0,0,0,0,0,1,0,243.721508542896,-6.278491457103996
278,0,1,21,222.548,186,9.55,880.0,0,1,0,0,0,0,996.1703350495612,116.17033504956123
279,0,1,12,158.84799999999996,137,72.65,1094.8,0,1,0,0,0,0,978.5827148620104,-116.2172851379895
280,0,1,22,93.157,91,10.48,690.0,0,1,0,0,0,0,753.7250666007698,63.725066600769765
281,0,1,22,93.157,91,10.48,680.0,0,1,0,0,0,0,753.7250666007698,73.72506660076976
282,0,1,22,93.157,91,10.48,935.0,0,1,0,0,0,0,753.7250666007698,-181.27493339923024
283,0,1,20,26.249,27,4.73,542.8,0,1,0,0,0,0,442.8507057211194,-99.94929427888053
284,1,1,7,58.273,64,6.27,586.5,1,0,0,0,0,0,656.7996745275399,70.29967452753988
285,1,1,7,58.273,64,6.27,535.46,1,0,0,0,0,0,656.7996745275399,121.33967452753984
286,1,1,7,58.273,64,6.27,680.0,1,0,0,0,0,0,656.7996745275399,-23.200325472460122
287,0,1,52,289.195,236,82.47,8152.35,0,0,0,0,0,1,4685.602791237465,-3466.7472087625356
288,0,0,23,8.588,13,0.22,276.0,0,1,0,0,0,0,297.06456361683934,21.064563616839337
289,0,0,23,8.588,13,0.22,431.25,0,1,0,0,0,0,297.06456361683934,-134.18543638316066
290,0,0,23,8.588,13,0.22,385.0,0,1,0,0,0,0,297.06456361683934,-87.93543638316066
291,0,1,12,164.85,142,7.18,634.8,0,1,0,0,0,0,790.3441277969927,155.5441277969927
292,0,1,40,35.984,41,9.08,693.0,0,0,0,1,0,0,643.5075864624763,-49.4924135375237
293,0,0,20,23.578000000000007,27,0.45,273.7,0,1,0,0,0,0,458.944722497063,185.24472249706304
294,1,1,20,1.596,6,32.05,3154.45,0,1,0,0,0,0,3046.693728894747,-107.75627110525284
295,0,0,30,17.31,18,0.3,350.75,0,0,1,0,0,0,323.19432152359866,-27.55567847640134
296,0,0,25,10.953,11,0.18,805.0,0,0,1,0,0,0,287.2971374323498,-517.7028625676502
297,0,1,55,71.934,65,8.3,931.5,1,0,0,0,0,1,964.8519361112798,33.35193611127977
298,0,0,15,5.655,9,0.15,253.0,0,1,0,0,0,0,321.53971692296807,68.53971692296807
299,0,1,12,105.801,90,7.48,561.78,0,1,0,0,0,0,603.644132044103,41.86413204410303
300,0,1,12,105.801,90,7.48,500.25,0,1,0,0,0,0,603.644132044103,103.394132044103
301,0,1,20,81.485,74,10.87,630.0,0,1,0,0,0,0,658.9423594854837,28.942359485483735
302,0,1,20,81.485,74,10.87,727.0,0,1,0,0,0,0,658.9423594854837,-68.05764051451627
303,0,1,15,17.621,25,70.2,475.0,0,1,0,0,0,0,545.6438496772265,70.64384967722651
304,0,1,15,17.621,25,70.2,517.5,0,1,0,0,0,0,545.6438496772265,28.143849677226513
305,0,1,50,82.111,76,9.63,700.0,0,0,0,0,0,1,919.1611200203719,219.16112002037187
306,0,1,50,82.111,76,9.63,727.0,0,0,0,0,0,1,919.1611200203719,192.16112002037187
307,0,1,60,77.336,79,9.9,1260.0,1,0,0,0,0,1,1025.1151259660787,-234.88487403392128
308,0,1,60,77.336,79,9.9,712.0,1,0,0,0,0,1,1025.1151259660787,313.1151259660787
309,0,1,43,44.492,61,7.0,483.0,0,0,0,1,0,0,626.187456248905,143.18745624890505
310,0,1,43,44.492,61,7.0,855.0,0,0,0,1,0,0,626.187456248905,-228.81254375109495
311,0,1,35,428.097,307,51.57,2869.25,0,0,1,0,0,0,2778.744745592407,-90.50525440759293
312,0,1,35,428.097,307,51.57,3900.26,0,0,1,0,0,0,2778.744745592407,-1121.5152544075931
313,0,1,40,35.984,41,9.08,580.0,0,0,0,1,0,0,643.5075864624763,63.5075864624763
314,0,1,8,95.803,83,10.52,550.0,1,0,0,0,0,0,623.9016084013805,73.90160840138049
315,0,1,8,95.803,83,10.52,632.0,1,0,0,0,0,0,623.9016084013805,-8.098391598619514
316,0,1,24,217.908,160,10.33,910.0,0,0,1,0,0,0,1110.636492183718,200.63649218371802
317,1,0,16,4.557,13,0.22,276.0,0,1,0,0,0,0,296.7653171741607,20.765317174160714
