,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
185,0,0,50,40.891,42,0.7,500.0,0,0,0,0,0,1,618.4095458984375,118.4095458984375
186,0,1,40,58.987,63,9.27,775.0,0,0,0,1,0,0,830.9178466796875,55.9178466796875
187,0,1,21,124.789,101,8.83,725.0,0,1,0,0,0,0,680.8753051757812,-44.12469482421875
188,0,1,25,209.903,194,11.62,1222.45,0,0,1,0,0,0,1141.843505859375,-80.60649414062505
189,0,1,25,49.575,47,4.17,410.55,0,0,1,0,0,0,449.3612976074219,38.811297607421864
190,0,1,30,11.298,28,3.47,535.9,0,0,1,0,0,0,486.7303771972656,-49.16962280273435
191,0,1,110,81.24600000000002,72,11.27,2185.0,1,0,0,0,0,2,1662.98583984375,-522.01416015625
192,0,1,110,81.24600000000002,72,11.27,1576.0,1,0,0,0,0,2,1662.985107421875,86.985107421875
193,0,0,50,23.508000000000006,23,0.38,497.0,0,0,0,0,0,1,603.2124633789062,106.21246337890625
194,0,1,25,13.744000000000002,17,9.9,316.25,0,0,1,0,0,0,533.7721557617188,217.52215576171875
195,0,1,30,257.386,194,93.85,2180.4,0,0,1,0,0,0,1746.1077880859375,-434.2922119140626
196,0,0,30,3.427,10,0.17,267.95,0,0,1,0,0,0,332.7010803222656,64.75108032226564
197,0,0,30,3.427,10,0.17,320.0,0,0,1,0,0,0,332.7010803222656,12.701080322265625
198,0,0,15,24.489,28,0.47,349.6,0,1,0,0,0,0,303.5905456542969,-46.00945434570315
199,0,0,15,24.489,28,0.47,555.0,0,1,0,0,0,0,303.5905456542969,-251.40945434570312
200,0,1,35,66.342,59,7.48,805.0,0,0,1,0,0,0,689.393310546875,-115.606689453125
201,0,1,40,34.673,29,9.48,713.0,0,0,0,1,0,0,654.1565551757812,-58.84344482421875
202,0,1,42,32.374,36,9.05,1035.0,0,0,0,1,0,0,712.5372314453125,-322.4627685546875
203,0,1,30,53.905,54,48.45,320.0,0,0,1,0,0,0,842.108154296875,522.108154296875
204,0,1,45,17.524,18,9.38,747.5,0,0,0,0,1,0,773.8497314453125,26.3497314453125
205,0,0,50,23.508000000000006,23,0.38,926.9,0,0,0,0,0,1,603.2124633789062,-323.6875366210937
206,0,1,7,980.241,715,73.93,2875.0,1,0,0,0,0,0,3622.03466796875,747.03466796875
207,0,1,15,78.803,62,5.75,499.0,0,1,0,0,0,0,384.4811706542969,-114.51882934570312
208,0,1,260,61.65600000000001,63,5.27,3680.0,0,0,0,0,1,4,3132.80224609375,-547.19775390625
209,0,1,260,61.65600000000001,63,5.27,2611.58,0,0,0,0,1,4,3132.80224609375,521.2222460937501
210,0,1,30,794.061,597,45.0,3894.48,0,0,1,0,0,0,3569.7900390625,-324.6899609375
211,0,1,142,208.588,152,30.77,4805.0,0,0,1,0,0,2,4444.52880859375,-360.47119140625
212,0,1,53,316.365,244,94.0,2375.9,0,0,0,0,0,1,3053.4296875,677.5296874999999
213,0,1,53,316.365,244,94.0,2250.0,0,0,0,0,0,1,3053.4296875,803.4296875
214,0,1,35,997.463,737,102.9,5848.9,0,0,1,0,0,0,5581.78369140625,-267.11630859374964
215,0,1,30,316.536,250,94.1,2180.4,0,0,1,0,0,0,2007.31298828125,-173.0870117187501
216,0,1,60,135.753,108,11.65,2331.0,1,0,0,0,0,1,1445.92822265625,-885.07177734375
217,1,0,45,642.692,469,7.82,4455.1,0,0,0,0,1,0,5109.4560546875,654.3560546874996
218,1,0,45,642.692,469,7.82,6417.0,0,0,0,0,1,0,5109.4560546875,-1307.5439453125
219,0,1,50,225.047,165,32.37,1642.2,0,0,0,0,0,1,2819.91748046875,1177.71748046875
220,0,1,50,225.047,165,32.37,1500.0,0,0,0,0,0,1,2819.91748046875,1319.91748046875
221,0,1,50,225.047,165,32.37,1675.0,0,0,0,0,0,1,2819.91748046875,1144.91748046875
222,0,1,45,604.813,482,105.47,3509.8,0,0,0,0,1,0,4172.59375,662.7937499999998
