,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach
414,0,1,40,48.645,50,8.92,725.0,0,0,0,1,0,0
415,0,1,36,719.316,520,78.27,4645.0,0,0,1,0,0,0
416,0,1,10,48.174,56,5.47,600.0,1,0,0,0,0,0
417,0,1,10,48.174,56,5.47,615.0,1,0,0,0,0,0
418,0,1,50,137.537,129,11.05,1035.0,0,0,0,0,0,1
419,0,0,14,35.099000000000004,28,0.47,340.0,0,1,0,0,0,0
420,0,1,40,111.48,101,11.33,977.5,0,0,0,1,0,0
421,0,1,40,111.48,101,11.33,1075.0,0,0,0,1,0,0
422,0,1,50,137.537,129,11.05,950.0,0,0,0,0,0,1
423,0,1,50,137.537,129,11.05,880.0,0,0,0,0,0,1
424,0,1,18,77.402,80,30.67,813.05,0,1,0,0,0,0
425,0,1,70,94.13799999999999,90,9.75,1900.0,0,1,0,0,0,1
426,0,1,70,94.13799999999999,90,9.75,2290.0,0,1,0,0,0,1
427,0,1,23,435.028,356,11.72,1299.0,0,1,0,0,0,0
428,0,1,35,94.098,73,5.6,650.0,0,0,1,0,0,0
429,0,1,85,53.946999999999996,55,5.7,990.0,0,0,1,0,0,1
430,0,1,85,53.946999999999996,55,5.7,990.0,0,0,1,0,0,1
431,0,1,30,49.056999999999995,53,7.18,660.0,0,0,1,0,0,0
432,0,0,40,3.492,10,0.17,330.0,0,0,0,1,0,0
433,0,0,40,3.492,10,0.17,310.0,0,0,0,1,0,0
434,0,1,40,106.58,104,7.87,760.0,0,0,0,1,0,0
435,0,0,8,84.709,69,1.15,1640.0,1,0,0,0,0,0
436,0,1,25,617.8919999999999,504,64.2,3550.0,0,0,1,0,0,0
437,0,1,25,617.8919999999999,504,64.2,3325.0,0,0,1,0,0,0
438,0,1,100,168.917,168,11.15,1100.0,0,0,0,0,1,1
439,0,1,55,46.115,53,3.95,460.0,1,0,0,0,0,1
440,0,0,38,5.985,12,0.2,385.0,0,0,0,1,0,0
441,0,0,38,5.985,12,0.2,355.0,0,0,0,1,0,0
442,0,1,60,37.141999999999996,30,10.25,680.0,1,0,0,0,0,1
443,0,1,30,91.084,77,11.63,767.0,0,0,1,0,0,0
444,0,1,40,8.681000000000001,16,6.63,325.0,0,0,0,1,0,0
445,0,1,40,184.207,151,8.25,962.0,0,0,0,1,0,0
446,0,1,20,369.704,286,13.35,1290.3,0,1,0,0,0,0
447,0,0,60,48.846000000000004,46,0.77,747.5,1,0,0,0,0,1
448,0,1,30,20.851999999999997,23,7.43,530.0,0,0,1,0,0,0
449,0,1,25,19.468,28,2.98,224.75,0,0,1,0,0,0
450,0,1,25,19.468,28,2.98,500.0,0,0,1,0,0,0
451,0,1,45,115.055,103,9.85,985.0,0,0,0,0,1,0
452,0,1,50,164.195,143,12.18,900.0,0,0,0,0,0,1
